Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | АО "ПРИРОДА БАРАБЫ" | 5451112147  | 545101001 | 632334, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н БАРАБИНСКИЙ, Г. БАРАБИНСК, УЛ. ОСТРОВСКОГО, Д.8
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | АО"Доволенский лесхоз" | 5420103801  | 542001001 | 632450, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н ДОВОЛЕНСКИЙ, С ДОВОЛЬНОЕ, УЛ РАБОЧАЯ, Д. 16
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ГАУ НСО "БАГАНСКИЙ ЛЕСХОЗ" | 5403068674  | 540301001 | 632770, НОВОСИБИРСКАЯ ОБЛАСТЬ, М.Р-Н БАГАНСКИЙ, С.П. БАГАНСКИЙ СЕЛЬСОВЕТ, С БАГАН, УЛ ПРИХОДЬКО, Д. 39
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ГАУ НСО "МАСЛЯНИНСКИЙ ЛЕСХОЗ" | 5473003078  | 547301001 | 633564, НОВОСИБИРСКАЯ ОБЛАСТЬ, М.Р-Н МАСЛЯНИНСКИЙ, Г.П. РАБОЧИЙ ПОСЕЛОК МАСЛЯНИНО, РП МАСЛЯНИНО, УЛ ЮБИЛЕЙНАЯ, Д. 4
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | Муниципальное бюджетное учреждение "Приют животных "Надежда" г. Бердска" | 5445012666  | 544501001 | 633003, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г. БЕРДСК, УЛ. ПУШКИНА, Д.38
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | АО "ЗДВИНСКИЙ ЛЕСХОЗ" | 5421110865  | 542101001 | 632951, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н ЗДВИНСКИЙ, С. ЗДВИНСК, УЛ. ЮЖНАЯ, Д.4
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ГАУ НСО "ТАТАРСКИЙ ЛЕСХОЗ" | 5453000135  | 545301001 | 632122, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н ТАТАРСКИЙ, Г. ТАТАРСК, УЛ. ЛЕНИНА, Д.2А
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ФГБУ "САС "БАГАНСКАЯ" | 5417100582  | 541701001 | 632770, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н БАГАНСКИЙ, С. БАГАН, УЛ. КУЙБЫШЕВА, К.33
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ "РОССИЙСКИЙ ЦЕНТР ЗАЩИТЫ ЛЕСА""ЦЕНТР ЗАЩИТЫ ЛЕСА НОВОСИБИРСКОЙ ОБЛАСТИ" | 7727156317  | 540102001 | 141207, МОСКОВСКАЯ ОБЛАСТЬ, Г. ПУШКИНО, УЛ. НАДСОНОВСКАЯ, Д. 13
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | МАУ "МУНИЦИПАЛЬНЫЙ ЛЕСХОЗ Р.П. СУЗУН" | 5436111357  | 543601001 | 633623, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н СУЗУНСКИЙ, РП. СУЗУН, УЛ. ЗАПАДНАЯ, Д. 31
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | государственное автономное учреждение Новосибирской области "Тогучинский лесхоз" | 5438001381  | 543801001 | 633456, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н ТОГУЧИНСКИЙ, Г. ТОГУЧИН, УЛ. ЛЕСНАЯ, Д. 20
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ГАУ НСО "МИХАЙЛОВСКИЙ ЛЕСХОЗ" | 5402073689  | 540201001 | 632520, НОВОСИБИРСКАЯ ОБЛАСТЬ, М.Р-Н УБИНСКИЙ, С.П. УБИНСКИЙ СЕЛЬСОВЕТ, С УБИНСКОЕ, УЛ ЛИНЕЙНАЯ, ЗД. 28А
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ГАУ НСО "НОВОСИБИРСКИЙ ЛЕСХОЗ" | 5410093551  | 541001001 | 630510, НОВОСИБИРСКАЯ ОБЛАСТЬ, М.Р-Н НОВОСИБИРСКИЙ, С.П. КУДРЯШОВСКИЙ СЕЛЬСОВЕТ, ДП КУДРЯШОВСКИЙ, УЛ ЗЕЛЕНАЯ, Д. 23А
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | Муниципальное казенное учреждение города Новосибирска "Новосибирский центр по проблемам домашних животных" | 5403206797  | 540301001 | 630088, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г НОВОСИБИРСК, ПР-Д СЕВЕРНЫЙ, ЗД. 9/4, ЭТАЖ 1
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | АО "СЕВЕРНЫЙ ЛЕСХОЗ" | 5435111805  | 543501001 | 632080, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н СЕВЕРНЫЙ, С. СЕВЕРНОЕ, УЛ. СОВЕТСКАЯ, Д.200
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | Муниципальное бюджетное общеобразовательное учреждение Отреченская средняя школа | 5415105240  | 541501001 | 632232, НОВОСИБИРСКАЯ ОБЛАСТЬ, Р-Н ЧАНОВСКИЙ, С. ОТРЕЧЕНСКОЕ, УЛ. ШКОЛЬНАЯ, Д. 8
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | Верхне-Обский филиал ФГБУ "Главрыбвод" | 7708044880  | 540643001 | 115114, Г.МОСКВА, ПЕР. 1-Й ДЕРБЕНЕВСКИЙ, Д. 5, СТР. 4, ОФИС 101
Государственная и муниципальная ? ᐅ РАЗДЕЛ A СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО | до 50 человек | ИП Чередов Евгений Петрович | 541023421084  |  | ОБЛАСТЬ Новосибирская, Город Новосибирск
